+-------------------------------------------------------------------------------------------------------------+
|                                                   ava_raw                                                   |
+------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                          Section                           | Score  | Type | Precision | Recall | F-Measure |
+------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                      PNLPhub/FarsTail                      |        |      |           |        |           |
|               persiannlp/parsinlu_entailment               |        |      |           |        |           |
|           persiannlp/parsinlu_query_paraphrasing           |        |      |           |        |           |
| persiannlp/parsinlu_query_paraphrasing - compare_two_sents |        |      |           |        |           |
|                                                            | rougeL | low  |   1.90    | 50.00  |    3.63   |
|                                                            | rougeL | mid  |   2.43    | 59.17  |    4.58   |
|                                                            | rougeL | high |   2.96    | 68.33  |    5.55   |
| persiannlp/parsinlu_query_paraphrasing - different_or_same |        |      |           |        |           |
|                                                            | rougeL | low  |   2.20    | 69.17  |    4.25   |
|                                                            | rougeL | mid  |   3.91    | 76.67  |    6.01   |
|                                                            | rougeL | high |   6.55    | 84.17  |    8.75   |
|   persiannlp/parsinlu_query_paraphrasing - sucess_level    |        |      |           |        |           |
|                                                            | rougeL | low  |   1.61    | 36.25  |    3.08   |
|                                                            | rougeL | mid  |   1.92    | 43.75  |    3.68   |
|                                                            | rougeL | high |   2.26    | 51.25  |    4.32   |
| persiannlp/parsinlu_query_paraphrasing - relatable_or_not  |        |      |           |        |           |
|                                                            | rougeL | low  |   2.41    | 53.33  |    4.49   |
|                                                            | rougeL | mid  |   4.35    | 61.67  |    6.69   |
|                                                            | rougeL | high |   7.12    | 70.02  |    9.57   |
|   persiannlp/parsinlu_query_paraphrasing - never_always    |        |      |           |        |           |
|                                                            | rougeL | low  |   1.93    | 63.33  |    3.73   |
|                                                            | rougeL | mid  |   2.28    | 71.67  |    4.38   |
|                                                            | rougeL | high |   2.71    | 80.00  |    5.14   |
|  persiannlp/parsinlu_query_paraphrasing - similar_or_not   |        |      |           |        |           |
|                                                            | rougeL | low  |   1.45    | 38.33  |    2.78   |
|                                                            | rougeL | mid  |   2.52    | 46.67  |    4.11   |
|                                                            | rougeL | high |   4.69    | 55.83  |    6.33   |
|                      PNLPhub/DigiMag                       |        |      |           |        |           |
|              PNLPhub/DigiMag - generate_text               |        |      |           |        |           |
|                                                            | rougeL | low  |   24.98   |  7.57  |   11.29   |
|                                                            | rougeL | mid  |   26.33   |  8.07  |   11.82   |
|                                                            | rougeL | high |   27.63   |  8.57  |   12.31   |
