+--------------------------------------+-------------------------------+--------------------+
|               ds_name                |           temp_name           |       result       |
+--------------------------------------+-------------------------------+--------------------+
|           PNLPhub/FarsTail           |         can_you_infer         | {'accuracy': 0.28} |
|           PNLPhub/FarsTail           |        does_this_imply        | {'accuracy': 0.28} |
|           PNLPhub/FarsTail           |         do_they_relate        | {'accuracy': 0.28} |
|           PNLPhub/FarsTail           |           confidence          | {'accuracy': 0.28} |
|           PNLPhub/FarsTail           |         claim_relation        | {'accuracy': 0.31} |
|           PNLPhub/FarsTail           |            evaluate           | {'accuracy': 0.31} |
|           PNLPhub/FarsTail           |            classify           | {'accuracy': 0.31} |
|    persiannlp/parsinlu_entailment    |           GPT3_Style          | {'accuracy': 0.41} |
|    persiannlp/parsinlu_entailment    | based_on_the_previous_passage | {'accuracy': 0.41} |
|    persiannlp/parsinlu_entailment    |         can_you_infer         | {'accuracy': 0.33} |
|    persiannlp/parsinlu_entailment    |        does_this_imply        | {'accuracy': 0.41} |
|    persiannlp/parsinlu_entailment    |           confidence          | {'accuracy': 0.41} |
|    persiannlp/parsinlu_entailment    |            evaluate           | {'accuracy': 0.33} |
|    persiannlp/parsinlu_entailment    |         claim_relation        | {'accuracy': 0.26} |
|    persiannlp/parsinlu_entailment    |            classify           | {'accuracy': 0.26} |
| PNLPhub/digikala-sentiment-analysis  |             is_avg            | {'accuracy': 0.3}  |
| PNLPhub/digikala-sentiment-analysis  |             is_bad            | {'accuracy': 0.06} |
| PNLPhub/digikala-sentiment-analysis  |            is_good            | {'accuracy': 0.31} |
| PNLPhub/digikala-sentiment-analysis  |        is_it_pos_or_neg       | {'accuracy': 0.12} |
| PNLPhub/digikala-sentiment-analysis  |           is_perfect          | {'accuracy': 0.29} |
| PNLPhub/digikala-sentiment-analysis  |          is_terrible          | {'accuracy': 0.04} |
| PNLPhub/digikala-sentiment-analysis  |         specify_categ         | {'accuracy': 0.31} |
| PNLPhub/digikala-sentiment-analysis  |          star_rating          | {'accuracy': 0.29} |
| PNLPhub/digikala-sentiment-analysis  |       what_is_sentiment       | {'accuracy': 0.3}  |
| PNLPhub/snappfood-sentiment-analysis |           is_it_neg           | {'accuracy': 0.57} |
| PNLPhub/snappfood-sentiment-analysis |        is_it_pos_or_neg       | {'accuracy': 0.43} |
| PNLPhub/snappfood-sentiment-analysis |           is_it_pos           | {'accuracy': 0.43} |
| PNLPhub/snappfood-sentiment-analysis |         recommendation        | {'accuracy': 0.43} |
| PNLPhub/snappfood-sentiment-analysis |      to_which_does_belong     | {'accuracy': 0.43} |
| PNLPhub/snappfood-sentiment-analysis |       what_is_sentiment       | {'accuracy': 0.43} |
+--------------------------------------+-------------------------------+--------------------+

***aya-13B-none-template-result

+----------------------------------------+-------------------------------+--------------------+
|                ds_name                 |           temp_name           |       result       |
+----------------------------------------+-------------------------------+--------------------+
|            PNLPhub/FarsTail            |         can_you_infer         | {'accuracy': 0.28} |
|            PNLPhub/FarsTail            |        does_this_imply        | {'accuracy': 0.28} |
|            PNLPhub/FarsTail            |         do_they_relate        | {'accuracy': 0.28} |
|            PNLPhub/FarsTail            |           confidence          | {'accuracy': 0.28} |
|            PNLPhub/FarsTail            |         claim_relation        | {'accuracy': 0.31} |
|            PNLPhub/FarsTail            |            evaluate           | {'accuracy': 0.31} |
|            PNLPhub/FarsTail            |            classify           | {'accuracy': 0.28} |
|     persiannlp/parsinlu_entailment     |           GPT3_Style          | {'accuracy': 0.33} |
|     persiannlp/parsinlu_entailment     | based_on_the_previous_passage | {'accuracy': 0.41} |
|     persiannlp/parsinlu_entailment     |         can_you_infer         | {'accuracy': 0.33} |
|     persiannlp/parsinlu_entailment     |        does_this_imply        | {'accuracy': 0.41} |
|     persiannlp/parsinlu_entailment     |           confidence          | {'accuracy': 0.41} |
|     persiannlp/parsinlu_entailment     |            evaluate           | {'accuracy': 0.33} |
|     persiannlp/parsinlu_entailment     |         claim_relation        | {'accuracy': 0.26} |
|     persiannlp/parsinlu_entailment     |            classify           | {'accuracy': 0.41} |
| persiannlp/parsinlu_query_paraphrasing |       compare_two_sents       | {'accuracy': 0.39} |
| persiannlp/parsinlu_query_paraphrasing |       different_or_same       | {'accuracy': 0.61} |
| persiannlp/parsinlu_query_paraphrasing |          sucess_level         | {'accuracy': 0.39} |
| persiannlp/parsinlu_query_paraphrasing |        relatable_or_not       | {'accuracy': 0.39} |
| persiannlp/parsinlu_query_paraphrasing |          never_always         | {'accuracy': 0.39} |
| persiannlp/parsinlu_query_paraphrasing |         similar_or_not        | {'accuracy': 0.39} |
|  PNLPhub/snappfood-sentiment-analysis  |           is_it_neg           | {'accuracy': 0.57} |
|  PNLPhub/snappfood-sentiment-analysis  |        is_it_pos_or_neg       | {'accuracy': 0.43} |
|  PNLPhub/snappfood-sentiment-analysis  |           is_it_pos           | {'accuracy': 0.43} |
|  PNLPhub/snappfood-sentiment-analysis  |         recommendation        | {'accuracy': 0.43} |
|  PNLPhub/snappfood-sentiment-analysis  |      to_which_does_belong     | {'accuracy': 0.43} |
|  PNLPhub/snappfood-sentiment-analysis  |       what_is_sentiment       | {'accuracy': 0.43} |
+----------------------------------------+-------------------------------+--------------------+
